subject	predicate	object	primary_knowledge_source	aggregator_knowledge_source	original_object	original_subject	subject_label	object_label
HGNC:8975	biolink:gene_associated_with_condition	MONDO:0016419	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114480	NCBIGene:5290		
HGNC:1100	biolink:gene_associated_with_condition	MONDO:0016419	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114480	NCBIGene:672		
HGNC:11998	biolink:gene_associated_with_condition	MONDO:0016419	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114480	NCBIGene:7157		
HGNC:9277	biolink:gene_associated_with_condition	MONDO:0016419	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114480	NCBIGene:8493		
HGNC:15574	biolink:gene_associated_with_condition	MONDO:0016419	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114480	NCBIGene:9821		
HGNC:1748	biolink:gene_associated_with_condition	MONDO:0016419	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114480	NCBIGene:999		
HGNC:2897	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:10395		
HGNC:2514	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:1499		
HGNC:2701	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:1630		
HGNC:27310	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:201163		
HGNC:3373	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:2033		
HGNC:391	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:207		
HGNC:3690	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:2261		
HGNC:17228	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:25788		
HGNC:7128	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:27030		
HGNC:583	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:324		
HGNC:6935	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:4163		
HGNC:7989	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:4893		
HGNC:8805	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:5157		
HGNC:8975	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:5290		
HGNC:9645	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:5782		
HGNC:9673	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:5795		
HGNC:959	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:581		
HGNC:11283	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:6714		
HGNC:1097	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:673		
HGNC:1148	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:699		
HGNC:1149	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:701		
HGNC:904	biolink:gene_associated_with_condition	MONDO:0005575	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114500	NCBIGene:8313		
HGNC:2514	biolink:gene_associated_with_condition	MONDO:0018902	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114550	NCBIGene:1499		
HGNC:583	biolink:gene_associated_with_condition	MONDO:0018902	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114550	NCBIGene:324		
HGNC:5467	biolink:gene_associated_with_condition	MONDO:0018902	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114550	NCBIGene:3482		
HGNC:7029	biolink:gene_associated_with_condition	MONDO:0018902	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114550	NCBIGene:4233		
HGNC:8805	biolink:gene_associated_with_condition	MONDO:0018902	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114550	NCBIGene:5157		
HGNC:8975	biolink:gene_associated_with_condition	MONDO:0018902	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114550	NCBIGene:5290		
HGNC:11998	biolink:gene_associated_with_condition	MONDO:0018902	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114550	NCBIGene:7157		
HGNC:903	biolink:gene_associated_with_condition	MONDO:0018902	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114550	NCBIGene:8312		
HGNC:1509	biolink:gene_associated_with_condition	MONDO:0018902	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:114550	NCBIGene:841		
HGNC:10484	biolink:gene_associated_with_condition	MONDO:0020745	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:115000	NCBIGene:6262		
HGNC:1097	biolink:gene_associated_with_condition	MONDO:0007265	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:115150	NCBIGene:673		
HGNC:11949	biolink:gene_associated_with_condition	MONDO:0007266	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:115195	NCBIGene:7139		
HGNC:12010	biolink:gene_associated_with_condition	MONDO:0007267	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:115196	NCBIGene:7168		
HGNC:7551	biolink:gene_associated_with_condition	MONDO:0007268	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:115197	NCBIGene:4607		
HGNC:6636	biolink:gene_associated_with_condition	MONDO:0007269	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:115200	NCBIGene:4000		
HGNC:11947	biolink:gene_associated_with_condition	MONDO:0007270	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:115210	NCBIGene:7137		
HGNC:10681	biolink:gene_associated_with_condition	MONDO:0007273	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:115310	NCBIGene:6390		
HGNC:12405	biolink:gene_associated_with_condition	MONDO:0020730	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:115430	NCBIGene:7276		
HGNC:2411	biolink:gene_associated_with_condition	MONDO:0015300	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:115700	NCBIGene:1421		
HGNC:2417	biolink:gene_associated_with_condition	MONDO:0007284	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:116100	NCBIGene:1427		
HGNC:4281	biolink:gene_associated_with_condition	MONDO:0011060	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:116200	NCBIGene:2703		
HGNC:12692	biolink:gene_associated_with_condition	MONDO:0007286	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:116300	NCBIGene:7431		
HGNC:3386	biolink:gene_associated_with_condition	MONDO:0007288	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:116600	NCBIGene:1969		
HGNC:4204	biolink:gene_associated_with_condition	MONDO:0007289	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:116700	NCBIGene:2651		
HGNC:5227	biolink:gene_associated_with_condition	MONDO:0020379	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:116800	NCBIGene:3299		
HGNC:1573	biolink:gene_associated_with_condition	MONDO:0020724	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:116860	NCBIGene:889		
HGNC:6155	biolink:gene_associated_with_condition	MONDO:0007293	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:116920	NCBIGene:3689		
HGNC:10483	biolink:gene_associated_with_condition	MONDO:0018948	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:117000	NCBIGene:6261		
HGNC:24160	biolink:gene_associated_with_condition	MONDO:0007296	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:117210	NCBIGene:146227		
HGNC:6174	biolink:gene_associated_with_condition	MONDO:0007297	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:117300	NCBIGene:9445		
HGNC:6180	biolink:gene_associated_with_condition	MONDO:0007298	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:117360	NCBIGene:3708		
HGNC:14234	biolink:gene_associated_with_condition	MONDO:0007299	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:117550	NCBIGene:64324		
HGNC:11153	biolink:gene_associated_with_condition	MONDO:0007301	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:117650	NCBIGene:6628		
HGNC:4221	biolink:gene_associated_with_condition	MONDO:0007306	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:118100	NCBIGene:392255		
HGNC:7225	biolink:gene_associated_with_condition	MONDO:0007307	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:118200	NCBIGene:4359		
HGNC:16636	biolink:gene_associated_with_condition	MONDO:0007308	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:118210	NCBIGene:23095		
HGNC:9118	biolink:gene_associated_with_condition	MONDO:0007309	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:118220	NCBIGene:5376		
HGNC:9118	biolink:gene_associated_with_condition	MONDO:0007311	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:118300	NCBIGene:5376		
HGNC:10825	biolink:gene_associated_with_condition	MONDO:0007315	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:118400	NCBIGene:6452		
HGNC:6188	biolink:gene_associated_with_condition	MONDO:0016862	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:118450	NCBIGene:182		
HGNC:15492	biolink:gene_associated_with_condition	MONDO:0007319	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:118600	NCBIGene:56172		
HGNC:11825	biolink:gene_associated_with_condition	MONDO:0021011	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:118700	NCBIGene:7080		
HGNC:9153	biolink:gene_associated_with_condition	MONDO:0700089	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:118800	NCBIGene:25953		
HGNC:6121	biolink:gene_associated_with_condition	MONDO:0007333	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:119300	NCBIGene:3664		
HGNC:6121	biolink:gene_associated_with_condition	MONDO:0007334	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:119500	NCBIGene:3664		
HGNC:1748	biolink:gene_associated_with_condition	MONDO:0054740	infores:medgen_mim_g2d	infores:medgen_mim_g2d	OMIM:119580	NCBIGene:999		
